cluster	ORF	gene_name
endomembrane system	YAL002W	VPS8
protein targeting	YAL002W	VPS8
protein targeting_GO_15_2_mut	YAL002W	VPS8
protein targeting_GO_30_1_all	YAL002W	VPS8
protein targeting_GO_30_1_mut	YAL002W	VPS8
whole_library	YAL002W	VPS8
endomembrane system	YAL007C	ERP2
whole_library	YAL007C	ERP2
whole_library_30_5_all	YAL007C	ERP2
endomembrane system	YAL010C	MDM10
protein targeting	YAL010C	MDM10
protein targeting_GO_30_1_all	YAL010C	MDM10
whole_library	YAL010C	MDM10
chromatin	YAL011W	SWC3
chromatin organization	YAL011W	SWC3
chromatin organization_GO_15_1_mut	YAL011W	SWC3
chromatin organization_GO_30_1_mut	YAL011W	SWC3
chromatin_GO_30_3_mut	YAL011W	SWC3
chromosome	YAL011W	SWC3
chromosome_GO_30_1_mut	YAL011W	SWC3
sig_Gsp1_GI	YAL011W	SWC3
sig_Gsp1_GI_30_1_mut	YAL011W	SWC3
sig_Gsp1_GI_30_2_all	YAL011W	SWC3
whole_library	YAL011W	SWC3
chromatin	YAL013W	DEP1
chromatin organization	YAL013W	DEP1
chromatin_GO_30_2_all	YAL013W	DEP1
chromosome	YAL013W	DEP1
chromosome_GO_30_2_all	YAL013W	DEP1
histone modification	YAL013W	DEP1
histone modification_GO_30_1_all	YAL013W	DEP1
response to heat	YAL013W	DEP1
response to heat_GO_15_1_all	YAL013W	DEP1
response to heat_GO_30_1_all	YAL013W	DEP1
transcription	YAL013W	DEP1
transcription and mRNA processing	YAL013W	DEP1
transcription from RNA polymerase II promoter	YAL013W	DEP1
whole_library	YAL013W	DEP1
whole_library_30_1_all	YAL013W	DEP1
cellular response to DNA damage stimulus	YAL019W	FUN30
cellular response to DNA damage stimulus_GO_30_1_mut	YAL019W	FUN30
chromatin	YAL019W	FUN30
chromatin organization	YAL019W	FUN30
chromatin organization_GO_30_1_mut	YAL019W	FUN30
chromatin_GO_30_3_mut	YAL019W	FUN30
chromosome	YAL019W	FUN30
chromosome_GO_30_1_mut	YAL019W	FUN30
DNA repair	YAL019W	FUN30
DNA repair_GO_15_1_all	YAL019W	FUN30
DNA repair_GO_30_1_mut	YAL019W	FUN30
transcription	YAL019W	FUN30
transcription and mRNA processing	YAL019W	FUN30
transcription and mRNA processing_GO_15_14_mut	YAL019W	FUN30
