cluster	ORF	gene_name
cytoplasmic vesicle	YAL002W	VPS8
endomembrane system	YAL002W	VPS8
endosomal transport	YAL002W	VPS8
enzyme binding	YAL002W	VPS8
Golgi and ER	YAL002W	VPS8
protein targeting	YAL002W	VPS8
cytoplasmic vesicle	YAL007C	ERP2
endomembrane system	YAL007C	ERP2
endoplasmic reticulum	YAL007C	ERP2
ER	YAL007C	ERP2
Golgi	YAL007C	ERP2
Golgi and ER	YAL007C	ERP2
Golgi vesicle transport	YAL007C	ERP2
endomembrane system	YAL010C	MDM10
endoplasmic reticulum	YAL010C	MDM10
ER	YAL010C	MDM10
Golgi and ER	YAL010C	MDM10
ion transport	YAL010C	MDM10
lipid transport	YAL010C	MDM10
lipids	YAL010C	MDM10
mitochondria	YAL010C	MDM10
mitochondrial envelope	YAL010C	MDM10
mitochondrion	YAL010C	MDM10
mitochondrion organization	YAL010C	MDM10
protein targeting	YAL010C	MDM10
transmembrane transport	YAL010C	MDM10
chromatin	YAL011W	SWC3
chromatin organization	YAL011W	SWC3
chromosome	YAL011W	SWC3
mitochondria	YAL011W	SWC3
mitochondrion	YAL011W	SWC3
sig_Gsp1_GI	YAL011W	SWC3
carbohydrate metabolic process	YAL013W	DEP1
chromatin	YAL013W	DEP1
chromatin organization	YAL013W	DEP1
chromosome	YAL013W	DEP1
DNA replication	YAL013W	DEP1
histone modification	YAL013W	DEP1
lipid metabolic process	YAL013W	DEP1
lipids	YAL013W	DEP1
metabolic	YAL013W	DEP1
regulation of DNA metabolic process	YAL013W	DEP1
response to heat	YAL013W	DEP1
transcription	YAL013W	DEP1
transcription and mRNA processing	YAL013W	DEP1
transcription from RNA polymerase II promoter	YAL013W	DEP1
cellular response to DNA damage stimulus	YAL019W	FUN30
chromatin	YAL019W	FUN30
chromatin binding	YAL019W	FUN30
chromatin organization	YAL019W	FUN30
chromosome	YAL019W	FUN30
DNA binding	YAL019W	FUN30
DNA repair	YAL019W	FUN30
hydrolase activity	YAL019W	FUN30
mitochondria	YAL019W	FUN30
mitochondrion	YAL019W	FUN30
transcription	YAL019W	FUN30
transcription and mRNA processing	YAL019W	FUN30
transcription from RNA polymerase II promoter	YAL019W	FUN30
budding	YAL020C	ATS1
cell budding	YAL020C	ATS1
cytoskeleton and microtubules	YAL020C	ATS1
cytoskeleton organization	YAL020C	ATS1
ribosomes and translation	YAL020C	ATS1
RNA modification	YAL020C	ATS1
transcription and mRNA processing	YAL020C	ATS1
tRNA processing	YAL020C	ATS1
cell cycle	YAL021C	CCR4
DNA replication	YAL021C	CCR4
DNA-templated transcription, elongation	YAL021C	CCR4
hydrolase activity	YAL021C	CCR4
metabolic	YAL021C	CCR4
mitotic cell cycle	YAL021C	CCR4
nuclease activity	YAL021C	CCR4
regulation of cell cycle	YAL021C	CCR4
regulation of DNA metabolic process	YAL021C	CCR4
RNA catabolic process	YAL021C	CCR4
transcription	YAL021C	CCR4
transcription and mRNA processing	YAL021C	CCR4
transcription from RNA polymerase II promoter	YAL021C	CCR4
endomembrane system	YAL023C	PMT2
endoplasmic reticulum	YAL023C	PMT2
ER	YAL023C	PMT2
Golgi and ER	YAL023C	PMT2
protein glycosylation	YAL023C	PMT2
proteolysis involved in cellular protein catabolic process	YAL023C	PMT2
sig_Gsp1_GI	YAL023C	PMT2
transferase activity	YAL023C	PMT2
transferase activity, transferring glycosyl groups	YAL023C	PMT2
budding	YAL024C	LTE1
cell cycle	YAL024C	LTE1
cellular bud	YAL024C	LTE1
chromatin	YAL024C	LTE1
chromosome segregation	YAL024C	LTE1
cytoskeleton and microtubules	YAL024C	LTE1
guanyl-nucleotide exchange factor activity	YAL024C	LTE1
mitotic cell cycle	YAL024C	LTE1
organelle fission	YAL024C	LTE1
regulation of cell cycle	YAL024C	LTE1
regulation of organelle organization	YAL024C	LTE1
sig_Gsp1_GI	YAL024C	LTE1
conjugation	YAL026C	DRS2
endocytosis	YAL026C	DRS2
endomembrane system	YAL026C	DRS2
endoplasmic reticulum	YAL026C	DRS2
endosomal transport	YAL026C	DRS2
ER	YAL026C	DRS2
Golgi	YAL026C	DRS2
Golgi and ER	YAL026C	DRS2
Golgi apparatus	YAL026C	DRS2
Golgi vesicle transport	YAL026C	DRS2
hydrolase activity	YAL026C	DRS2
ion transport	YAL026C	DRS2
lipid transport	YAL026C	DRS2
lipids	YAL026C	DRS2
organelle assembly	YAL026C	DRS2
ribosomal small subunit biogenesis	YAL026C	DRS2
ribosome assembly	YAL026C	DRS2
ribosomes and translation	YAL026C	DRS2
sig_Gsp1_GI	YAL026C	DRS2
cellular response to DNA damage stimulus	YAL027W	SAW1
DNA binding	YAL027W	SAW1
DNA repair	YAL027W	SAW1
metabolic	YAL027W	SAW1
regulation of DNA metabolic process	YAL027W	SAW1
cell cycle	YAL040C	CLN3
enzyme regulator activity	YAL040C	CLN3
membrane fusion	YAL040C	CLN3
mitotic cell cycle	YAL040C	CLN3
organelle fusion	YAL040C	CLN3
protein phosphorylation	YAL040C	CLN3
regulation of cell cycle	YAL040C	CLN3
regulation of protein modification process	YAL040C	CLN3
vacuole organization	YAL040C	CLN3
vacuoles	YAL040C	CLN3
cytoplasmic vesicle	YAL042W	ERV46
endomembrane system	YAL042W	ERV46
endoplasmic reticulum	YAL042W	ERV46
ER	YAL042W	ERV46
Golgi	YAL042W	ERV46
Golgi and ER	YAL042W	ERV46
Golgi apparatus	YAL042W	ERV46
Golgi vesicle transport	YAL042W	ERV46
endomembrane system	YAL048C	GEM1
endoplasmic reticulum	YAL048C	GEM1
ER	YAL048C	GEM1
Golgi and ER	YAL048C	GEM1
GTPase activity	YAL048C	GEM1
hydrolase activity	YAL048C	GEM1
mitochondria	YAL048C	GEM1
mitochondrial envelope	YAL048C	GEM1
mitochondrion	YAL048C	GEM1
mitochondrion organization	YAL048C	GEM1
organelle inheritance	YAL048C	GEM1
regulation of organelle organization	YAL048C	GEM1
chromatin	YAL051W	OAF1
chromatin organization	YAL051W	OAF1
DNA binding	YAL051W	OAF1
lipid metabolic process	YAL051W	OAF1
lipids	YAL051W	OAF1
metabolic	YAL051W	OAF1
monocarboxylic acid metabolic process	YAL051W	OAF1
nucleic acid binding transcription factor activity	YAL051W	OAF1
transcription	YAL051W	OAF1
transcription and mRNA processing	YAL051W	OAF1
transcription from RNA polymerase II promoter	YAL051W	OAF1
cell wall organization or biogenesis	YAL053W	FLC2
endomembrane system	YAL053W	FLC2
endoplasmic reticulum	YAL053W	FLC2
ER	YAL053W	FLC2
Golgi and ER	YAL053W	FLC2
ion transport	YAL053W	FLC2
lipid metabolic process	YAL053W	FLC2
lipids	YAL053W	FLC2
metabolic	YAL053W	FLC2
nucleobase-containing compound transport	YAL053W	FLC2
protein folding	YAL053W	FLC2
response to osmotic stress	YAL053W	FLC2
transmembrane transport	YAL053W	FLC2
transmembrane transporter activity	YAL053W	FLC2
enzyme regulator activity	YAL055W	PEX22
peroxisome	YAL055W	PEX22
peroxisome organization	YAL055W	PEX22
peroxisomes	YAL055W	PEX22
protein modification by small protein conjugation or removal	YAL055W	PEX22
protein targeting	YAL055W	PEX22
regulation of protein modification process	YAL055W	PEX22
sig_Gsp1_GI	YAL055W	PEX22
transmembrane transport	YAL055W	PEX22
cytoplasmic vesicle	YAR002C-A	ERP1
endomembrane system	YAR002C-A	ERP1
Golgi	YAR002C-A	ERP1
Golgi and ER	YAR002C-A	ERP1
Golgi vesicle transport	YAR002C-A	ERP1
mitochondria	YAR002C-A	ERP1
mitochondrion	YAR002C-A	ERP1
cellular response to DNA damage stimulus	YAR002W	NUP60
chromatin	YAR002W	NUP60
chromatin organization	YAR002W	NUP60
DNA repair	YAR002W	NUP60
endomembrane system	YAR002W	NUP60
lipid binding	YAR002W	NUP60
lipids	YAR002W	NUP60
nuclear transport	YAR002W	NUP60
nuclear transport and organization	YAR002W	NUP60
nucleobase-containing compound transport	YAR002W	NUP60
peptidyl-amino acid modification	YAR002W	NUP60
protein modification by small protein conjugation or removal	YAR002W	NUP60
protein targeting	YAR002W	NUP60
regulation of protein modification process	YAR002W	NUP60
response to heat	YAR002W	NUP60
